# source:CJK 汉字拼音表——42856字 wangyanhan整理制作
# format = 1
㔵 xuǎn(xuan3)
㔶 ɡǎn ɡònɡ(gan3 gong4)
㔷 lòu(lou4)
㔸 tī(ti1)
㔹 lè(le4)
㔺 shì(shi4)
㔼 sǔn(sun3)
㔽 yào(yao4)
㔾 jié xiān(jie2 xian1)
㔿 zòu(zou4)
㕁 què(que4)
㕂 qín yín(qin2 yin2)
㕃 xī(xi1)
㕄 zhǐ(zhi3)
㕅 jiá(jia2)
㕆 hù(hu4)
㕇 lā(la1)
㕈 yǐ(yi3)
㕉 kè(ke4)
㕊 fū(fu1)
㕋 qín(qin2)
㕌 ài(ai4)
㕎 kè(ke4)
㕏 chú(chu2)
㕐 xiě xiè(xie3 xie4)
㕑 chú(chu2)
㕒 wēi(wei1)
㕕 huàn(huan4)
㕖 sù(su4)
㕗 yòu(you4)
㕙 jùn(jun4)
㕚 zhǎo(zhao3)
㕛 xù(xu4)
㕜 shǐ(shi3)
㕞 shuā(shua1)
㕟 kuài kuì(kuai4 kui4)
㕠 shuānɡ(shuang1)
㕡 hé(he2)
㕢 ɡài hài(gai4 hai4)
㕣 yǎn(yan3)
㕤 qiú(qiu2)
㕥 shēn(shen1)
㕦 huà(hua4)
㕧 xī(xi1)
㕨 fàn(fan4)
㕩 pànɡ(pang4)
㕪 dǎn(dan3)
㕫 fǎnɡ fēnɡ(fang3 feng1)
㕬 ɡōnɡ sòng(gong1 song4)
㕭 āo ào(ao1 ao4)
㕮 fǔ(fu3)
㕯 nè(ne4)
㕰 mɑ xuè(ma xue4)
㕱 yóu(you2)
㕲 huá yíng(hua2 ying2)
㕴 chén(chen2)
㕵 ɡuó(guo2)
㕷 huà pā(hua4 pa1)
㕸 lì(li4)
㕹 fá(fa2)
㕺 xiāo(xiao1)
㕻 pǒu(pou3)
㕽 sì(si4)
㖀 lè(le4)
㖁 lìn(lin4)
㖂 yì(yi4)
㖃 hǒu hòu(hou3 hou4)
㖅 xù(xu4)
㖆 qú(qu2)
㖇 ér(er2)
㖊 xún(xun2)
㖏 niè(nie4)
㖐 wěi(wei3)
㖑 xiè(xie4)
㖒 tí(ti2)
㖓 hónɡ(hong2)
㖔 tǔn(tun3)
㖕 niè xīn(nie4 xin1)
㖖 niè(nie4)
㖗 yín(yin2)
㖘 zhēn(zhen1)
